Wavenumber,Intensity
4000,57.246847
3999.875,57.250993
3999.75,57.247597
3999.625,57.238579
3999.5,57.226982
3999.375,57.218412
3999.25,57.219628
3999.125,57.230804
3999,57.244077
3998.875,57.253294
3998.75,57.260005
3998.625,57.266805
3998.5,57.271664
3998.375,57.272999
3998.25,57.273541
3998.125,57.274234
3998,57.271021
3997.875,57.263102
3997.75,57.258103
3997.625,57.262635
3997.5,57.273046
3997.375,57.281453
3997.25,57.286302
3997.125,57.291027
3997,57.296871
3996.875,57.302911
3996.75,57.308853
3996.625,57.312125
3996.5,57.306944
3996.375,57.291272
3996.25,57.266041
3996.125,57.215255
3996,57.093924
3995.875,56.859981
3995.75,56.535595
3995.625,56.228986
3995.5,56.075804
3995.375,56.143111
3995.25,56.383963
3995.125,56.683554
3995,56.943186
3994.875,57.124857
3994.75,57.235776
3994.625,57.295415
3994.5,57.323424
3994.375,57.339087
3994.25,57.353511
3994.125,57.364349
3994,57.366724
3993.875,57.364641
3993.75,57.362066
3993.625,57.349014
3993.5,57.310775
3993.375,57.251726
3993.25,57.198772
3993.125,57.17895
3993,57.200213
3992.875,57.251674
3992.75,57.312856
3992.625,57.362581
3992.5,57.389588
3992.375,57.398418
3992.25,57.400361
3992.125,57.400108
3992,57.394278
3991.875,57.372783
3991.75,57.309711
3991.625,57.165539
3991.5,56.92729
3991.375,56.652072
3991.25,56.445747
3991.125,56.383638
3991,56.45826
3990.875,56.609314
3990.75,56.784561
3990.625,56.957046
3990.5,57.103236
3990.375,57.195162
3990.25,57.221966
3990.125,57.206121
3990,57.190104
3989.875,57.207516
3989.75,57.264499
3989.625,57.341606
3989.5,57.411744
3989.375,57.459294
3989.25,57.484934
3989.125,57.496796
3989,57.50238
3988.875,57.507955
3988.75,57.517498
3988.625,57.528315
3988.5,57.53306
3988.375,57.529418
3988.25,57.523666
3988.125,57.522653
3988,57.526882
3987.875,57.533425
3987.75,57.540188
3987.625,57.545039
3987.5,57.546088
3987.375,57.545596
3987.25,57.548458
3987.125,57.553595
3987,57.551596
3986.875,57.534591
3986.75,57.506044
3986.625,57.479103
3986.5,57.467727
3986.375,57.478546
3986.25,57.504891
3986.125,57.526933
3986,57.523603
3985.875,57.489354
3985.75,57.439773
3985.625,57.400551
3985.5,57.391776
3985.375,57.417982
3985.25,57.466393
3985.125,57.515762
3985,57.552344
3984.875,57.578192
3984.75,57.600881
3984.625,57.618994
3984.5,57.624056
3984.375,57.613527
3984.25,57.593679
3984.125,57.570416
3984,57.54429
3983.875,57.513387
3983.75,57.475172
3983.625,57.427945
3983.5,57.376861
3983.375,57.333443
3983.25,57.299467
3983.125,57.256605
3983,57.186365
3982.875,57.101467
3982.75,57.044664
3982.625,57.053709
3982.5,57.133317
3982.375,57.259263
3982.25,57.397048
3982.125,57.514714
3982,57.591442
3981.875,57.622185
3981.75,57.613087
3981.625,57.574844
3981.5,57.525486
3981.375,57.49218
3981.25,57.495716
3981.125,57.531671
3981,57.576142
3980.875,57.607973
3980.75,57.615985
3980.625,57.592637
3980.5,57.540347
3980.375,57.484798
3980.25,57.462948
3980.125,57.489503
3980,57.546161
3979.875,57.60526
3979.75,57.651269
3979.625,57.678643
3979.5,57.686769
3979.375,57.685037
3979.25,57.689581
3979.125,57.706686
3979,57.728213
3978.875,57.746382
3978.75,57.762033
3978.625,57.775287
3978.5,57.781371
3978.375,57.780663
3978.25,57.78105
3978.125,57.785397
3978,57.787625
3977.875,57.784499
3977.75,57.779288
3977.625,57.769906
3977.5,57.744345
3977.375,57.689198
3977.25,57.590376
3977.125,57.428609
3977,57.198627
3976.875,56.941977
3976.75,56.740965
3976.625,56.665725
3976.5,56.730891
3976.375,56.901253
3976.25,57.11512
3976.125,57.295644
3976,57.373821
3975.875,57.334248
3975.75,57.234083
3975.625,57.158561
3975.5,57.156224
3975.375,57.222411
3975.25,57.327012
3975.125,57.43514
3975,57.505926
3974.875,57.497483
3974.75,57.392528
3974.625,57.22362
3974.5,57.069171
3974.375,57.013318
3974.25,57.090099
3974.125,57.25991
3974,57.445889
3973.875,57.590382
3973.75,57.669478
3973.625,57.667738
3973.5,57.575292
3973.375,57.418185
3973.25,57.257145
3973.125,57.130826
3973,57.020905
3972.875,56.897997
3972.75,56.788337
3972.625,56.76457
3972.5,56.872894
3972.375,57.087907
3972.25,57.338581
3972.125,57.559261
3972,57.717774
3971.875,57.815058
3971.75,57.869295
3971.625,57.89715
3971.5,57.906264
3971.375,57.903178
3971.25,57.898724
3971.125,57.900187
3971,57.90588
3970.875,57.913071
3970.75,57.922755
3970.625,57.9322
3970.5,57.932887
3970.375,57.916273
3970.25,57.861203
3970.125,57.712259
3970,57.409364
3969.875,56.975973
3969.75,56.564693
3969.625,56.369566
3969.5,56.475741
3969.375,56.80385
3969.25,57.194124
3969.125,57.524771
3969,57.753833
3968.875,57.890736
3968.75,57.959892
3968.625,57.984987
3968.5,57.984834
3968.375,57.972497
3968.25,57.957655
3968.125,57.94833
