Wavenumber,Intensity
4000,55.987423
3999.875,55.988806
3999.75,55.984244
3999.625,55.975162
3999.5,55.963994
3999.375,55.957467
3999.25,55.961585
3999.125,55.972993
3999,55.982297
3998.875,55.986182
3998.75,55.989907
3998.625,55.99755
3998.5,56.006956
3998.375,56.015082
3998.25,56.021178
3998.125,56.023057
3998,56.017242
3997.875,56.005494
3997.75,55.995777
3997.625,55.994116
3997.5,55.999796
3997.375,56.00934
3997.25,56.02012
3997.125,56.029242
3997,56.034674
3996.875,56.038711
3996.75,56.044543
3996.625,56.048359
3996.5,56.041879
3996.375,56.023538
3996.25,55.995803
3996.125,55.942509
3996,55.818821
3995.875,55.585277
3995.75,55.266402
3995.625,54.969265
3995.5,54.825925
3995.375,54.899909
3995.25,55.141476
3995.125,55.435028
3995,55.685663
3994.875,55.862473
3994.75,55.976574
3994.625,56.044427
3994.5,56.0797
3994.375,56.098414
3994.25,56.111828
3994.125,56.119117
3994,56.117996
3993.875,56.115546
3993.75,56.116346
3993.625,56.107411
3993.5,56.070903
3993.375,56.011002
3993.25,55.955168
3993.125,55.928978
3993,55.939387
3992.875,55.979099
3992.75,56.034113
3992.625,56.086441
3992.5,56.121963
3992.375,56.139596
3992.25,56.146806
3992.125,56.147786
3992,56.140945
3991.875,56.118358
3991.75,56.055041
3991.625,55.910935
3991.5,55.672369
3991.375,55.396645
3991.25,55.190247
3991.125,55.128508
3991,55.203003
3990.875,55.351934
3990.75,55.522075
3990.625,55.687559
3990.5,55.828209
3990.375,55.919032
3990.25,55.948904
3990.125,55.937432
3990,55.924653
3989.875,55.943171
3989.75,55.998521
3989.625,56.071607
3989.5,56.138296
3989.375,56.186753
3989.25,56.217755
3989.125,56.23502
3989,56.241785
3988.875,56.244147
3988.75,56.249073
3988.625,56.257462
3988.5,56.264814
3988.375,56.269136
3988.25,56.272585
3988.125,56.275912
3988,56.277874
3987.875,56.280034
3987.75,56.285274
3987.625,56.29146
3987.5,56.293808
3987.375,56.29355
3987.25,56.296393
3987.125,56.301162
3987,56.297991
3986.875,56.280265
3986.75,56.252724
3986.625,56.226546
3986.5,56.212103
3986.375,56.21608
3986.25,56.236764
3986.125,56.259306
3986,56.26293
3985.875,56.237862
3985.75,56.194292
3985.625,56.15461
3985.5,56.139579
3985.375,56.158102
3985.25,56.202322
3985.125,56.252725
3985,56.293451
3984.875,56.323135
3984.75,56.34733
3984.625,56.364684
3984.5,56.368172
3984.375,56.356992
3984.25,56.338324
3984.125,56.317694
3984,56.294369
3983.875,56.264769
3983.75,56.22485
3983.625,56.172844
3983.5,56.116361
3983.375,56.070418
3983.25,56.038025
3983.125,55.998999
3983,55.932731
3982.875,55.851634
3982.75,55.798212
3982.625,55.808052
3982.5,55.883652
3982.375,56.001811
3982.25,56.132145
3982.125,56.246894
3982,56.32729
3981.875,56.367468
3981.75,56.369423
3981.625,56.33778
3981.5,56.287318
3981.375,56.248349
3981.25,56.248014
3981.125,56.284196
3981,56.328975
3980.875,56.356445
3980.75,56.35606
3980.625,56.325798
3980.5,56.272772
3980.375,56.222429
3980.25,56.207361
3980.125,56.237636
3980,56.293369
3979.875,56.348962
3979.75,56.392502
3979.625,56.420685
3979.5,56.432323
3979.375,56.434184
3979.25,56.4398
3979.125,56.454766
3979,56.472459
3978.875,56.487183
3978.75,56.50041
3978.625,56.511456
3978.5,56.515277
3978.375,56.51346
3978.25,56.514935
3978.125,56.521664
3978,56.525538
3977.875,56.522322
3977.75,56.515871
3977.625,56.505217
3977.5,56.47955
3977.375,56.426927
3977.25,56.334062
3977.125,56.180207
3977,55.956603
3976.875,55.702154
3976.75,55.499787
3976.625,55.4228
3976.5,55.488497
3976.375,55.661553
3976.25,55.877773
3976.125,56.05782
3976,56.132407
3975.875,56.088031
3975.75,55.983917
3975.625,55.905705
3975.5,55.900995
3975.375,55.96464
3975.25,56.067427
3975.125,56.175615
3975,56.248007
3974.875,56.240889
3974.75,56.135639
3974.625,55.96565
3974.5,55.811453
3974.375,55.757921
3974.25,55.837207
3974.125,56.006887
3974,56.188878
3973.875,56.326645
3973.75,56.398864
3973.625,56.393111
3973.5,56.30189
3973.375,56.151509
3973.25,56.000289
3973.125,55.883504
3973,55.780599
3972.875,55.661209
3972.75,55.55076
3972.625,55.521739
3972.5,55.622379
3972.375,55.830928
3972.25,56.078654
3972.125,56.299133
3972,56.457873
3971.875,56.554448
3971.75,56.607385
3971.625,56.634442
3971.5,56.643743
3971.375,56.640854
3971.25,56.634873
3971.125,56.632829
3971,56.63541
3970.875,56.642581
3970.75,56.655046
3970.625,56.667157
3970.5,56.668614
3970.375,56.651992
3970.25,56.597949
3970.125,56.451547
3970,56.15298
3969.875,55.726915
3969.75,55.326023
3969.625,55.140648
3969.5,55.250062
3969.375,55.571825
3969.25,55.949118
3969.125,56.267225
3969,56.490238
3968.875,56.628366
3968.75,56.701514
3968.625,56.727856
3968.5,56.724368
3968.375,56.706856
3968.25,56.689155
3968.125,56.681521
3968,56.688077
3967.875,56.706568
3967.75,56.730927
3967.625,56.754223
3967.5,56.771922
3967.375,56.784292
3967.25,56.793682
3967.125,56.799125
3967,56.797673
3966.875,56.791883
3966.75,56.789963
3966.625,56.795775
3966.5,56.804193
3966.375,56.809259
3966.25,56.811093
3966.125,56.811726
3966,56.809105
3965.875,56.79723
3965.75,56.767305
3965.625,56.710699
3965.5,56.631826
3965.375,56.559636
3965.25,56.532568
3965.125,56.563718
3965,56.627862
3964.875,56.685259
3964.75,56.710609
3964.625,56.699835
3964.5,56.666819
3964.375,56.640813
3964.25,56.650119
3964.125,56.696073
3964,56.751966
3963.875,56.794228
3963.75,56.821731
3963.625,56.840128
3963.5,56.847444
3963.375,56.84325
3963.25,56.822517
3963.125,56.735704
3963,56.480948
3962.875,55.983289
3962.75,55.290979
3962.625,54.577033
3962.5,54.040715
3962.375,53.815828
3962.25,53.94448
3962.125,54.381864
3962,55.004852
3961.875,55.646606
3961.75,56.16912
3961.625,56.519122
3961.5,56.719243
3961.375,56.819476
3961.25,56.862266
3961.125,56.877875
3961,56.887039
3960.875,56.894325
3960.75,56.881344
3960.625,56.817228
3960.5,56.688789
3960.375,56.528138
3960.25,56.403932
3960.125,56.374987
3960,56.446582
3959.875,56.573324
3959.75,56.700037
3959.625,56.796224
3959.5,56.858211
3959.375,56.888439
3959.25,56.876181
3959.125,56.798088
3959,56.645713
3958.875,56.458168
3958.75,56.317974
3958.625,56.29545
3958.5,56.393
3958.375,56.549462
3958.25,56.695665
3958.125,56.793215
3958,56.818412
3957.875,56.733293
3957.75,56.503277
3957.625,56.156473
3957.5,55.813692
3957.375,55.632302
3957.25,55.697042
3957.125,55.960844
3957,56.292364
3956.875,56.578974
3956.75,56.780723
3956.625,56.906651
3956.5,56.972991
3956.375,56.990864
3956.25,56.968983
3956.125,56.91036
3956,56.819407
3955.875,56.723602
3955.75,56.672017
3955.625,56.694685
3955.5,56.773366
3955.375,56.865337
3955.25,56.944669
3955.125,57.006842
3955,57.048371
3954.875,57.064983
3954.75,57.063431
3954.625,57.055292
3954.5,57.041543
3954.375,57.012721
3954.25,56.949089
3954.125,56.804192
3954,56.515663
3953.875,56.081137
3953.75,55.624505
3953.625,55.343378
3953.5,55.358495
3953.375,55.623493
3953.25,55.983322
3953.125,56.299616
3953,56.519014
3952.875,56.657635
3952.75,56.756829
3952.625,56.847776
3952.5,56.935444
3952.375,57.00713
3952.25,57.054186
3952.125,57.079313
3952,57.085565
3951.875,57.072217
3951.75,57.039313
3951.625,56.978195
3951.5,56.862037
3951.375,56.672584
3951.25,56.425867
3951.125,56.111783
3951,55.590557
3950.875,54.641838
3950.75,53.23226
3950.625,51.740215
3950.5,50.807768
3950.375,50.876073
3950.25,51.85911
3950.125,53.263447
3950,54.592066
3949.875,55.605174
3949.75,56.285563
3949.625,56.69212
3949.5,56.894022
3949.375,56.956883
3949.25,56.881043
3949.125,56.557592
3949,55.881103
3948.875,54.966708
3948.75,54.193705
3948.625,53.919328
3948.5,54.104145
3948.375,54.280983
3948.25,53.985182
3948.125,53.222748
3948,52.489334
3947.875,52.317487
3947.75,52.849897
3947.625,53.823421
3947.5,54.871075
3947.375,55.762442
3947.25,56.41885
3947.125,56.838719
3947,57.065774
3946.875,57.176003
3946.75,57.232837
3946.625,57.257212
3946.5,57.254449
3946.375,57.245278
3946.25,57.249077
3946.125,57.25921
3946,57.259409
3945.875,57.251207
3945.75,57.244963
3945.625,57.234736
3945.5,57.192073
3945.375,57.068951
3945.25,56.807733
3945.125,56.395432
3945,55.93815
3944.875,55.637669
3944.75,55.639337
3944.625,55.903132
3944.5,56.25751
3944.375,56.555094
3944.25,56.743726
3944.125,56.809867
3944,56.701229
3943.875,56.278939
3943.75,55.298918
3943.625,53.515208
3943.5,50.972539
3943.375,48.269133
3943.25,46.389102
3943.125,46.10858
3943,47.463622
3942.875,49.790285
3942.75,52.233234
3942.625,54.220548
3942.5,55.583787
3942.375,56.407417
3942.25,56.85585
3942.125,57.078921
3942,57.182297
3941.875,57.230229
3941.75,57.25642
3941.625,57.269356
3941.5,57.260372
3941.375,57.225125
3941.25,57.179916
